Sigla;Taxa de sucesso;Município;PIB
UNIFEI;79,74;Itajubá;31027,77
UFMG;72,63;Belo Horizonte;36830,29
UFPA;71,19;Belém;21187,72
UNIFAP;65,3;Macapá;22180,61
UFRGS;63,28;Porto Alegre;52181,5
UFRA;61,26;Belém;21187,72
UFOPA;59,83;Santarém;16052,05
UFPR;59,64;Curitiba;45458,27
UFCSPA;59,42;Porto Alegre;52181,5
UFPE;59,21;Recife;31996,33
UNIFESP;58,36;São Paulo;58690,27
UFJF;56,24;Juiz de Fora;30048,91
UFRJ;56,23;Rio de Janeiro;54329,08
UFES;55,71;Vitória;71226,56
UFABC;54,64;Santo André;10091,65
UFLA;54,1;Lavras;25516,88
UFSCar;53,36;São Carlos;44796,4
UFU;52,92;Uberlândia;54904,9
UFRN;52,77;Natal;27088,32
UFAL;52,69;Maceió;22123,34
UFSJ;52,44;São João del Rei;24022,25
UFSM;52,24;Santa Maria;12144,47
UFF;51,88;Niterói;78894,23
UFCG;50,13;Campina Grande;22462,11
UFPI;49,62;Teresina;24340,67
UNIFAL;49,26;Alfenas;32866,51
UFSC;49,1;Florianópolis;42719,93
UFC;48,8;Fortaleza;25113,54
UFOP;48,68;Ouro Preto;92356,32
UFGD;48,55;Dourados;38427,67
UFMS;47,72;Campo Grande;8748,74
UNIR;47;Porto Velho;32059,05
UFV;46,2;Viçosa;10103,94
UnB;46,13;Brasília;85661,39
UFG;45,94;Goiânia;32992,87
UFAM;45,15;Manaus;36428,54
UFTM;44,66;Uberaba;44594,28
UFMA;43,9;São Luís;30673,57
UFBA;43,47;Salvador;22235,7
UFRRJ;42;Seropédica;51727,16
UFCA;41,85;Juazeiro do Norte;17710,46
UFVJM;41,47;Diamantina;15956,03
UFPB;41,11;João Pessoa;24752,78
UFS;39,24;Aracaju;26779,43
UFMT;39,22;Cuiabá;39593,92
UFPel;38,29;Pelotas;25912,63
UTFPR;37,77;Curitiba;45458,27
UFERSA;36,43;Mossoró;22103,19
UNIVASF;36,28;Petrolina;19443,88
UFRB;34,93;Cruz das Almas;15661,79
FURG;34,74;Rio Grande;51840,76
UFT;34,7;Palmas;32311,8
UFRPE;34,18;Recife;31996,33
UFAC;34;Rio Branco;22213,51
UFRR;32,7;Boa Vista;26752,61
UNILAB;31,75;Redenção;21457,64
UFFS;29,2;Chapecó;44363,68
UFOB;24,77;Barreiras;30844,51
UNILA;24,24;Foz do Iguaçu;56701,87
UNIPAMPA;23,46;Bagé;24642,82
UNIFESSPA;12,44;Marabá;31916,85
UFESBA;0,31;Itabuna;19188,26
